"STATION","NAME","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00014745","CONCORD ASOS, NH US","2020-01-01","8.05",",,W",,,"0.00",",,D,2400","0.0",",,D","7.0",",,D","33","H,,S","37",",,D","30",",,D","  300",",,W","  310",",,W","17.0",",,W","25.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-02","4.70",",,W",,,"0.00",",,D,2400","0.0",",,D","6.0",",,D","32","H,,S","41",",,D","23",",,D","  210",",,W","  210",",,W","12.1",",,W","15.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-03","0.22",",,W",,,"0.00","T,,D,2400","0.0",",,D","6.0",",,D","33","H,,S","41",",,D","29",",,D","  170",",,W","  210",",,W","4.9",",,W","4.9",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-04","2.68",",,W",,,"0.25",",,D,2400","0.0","T,,D","6.0",",,D","34","H,,S","38",",,D","31",",,D","  330",",,W","  310",",,W","10.1",",,W","13.0",",,W","    1",",,W","    1",",,W",,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-05","15.43",",,W",,,"0.07",",,D,2400","0.2",",,D","6.0",",,D","32","H,,S","33",",,D","22",",,D","  310",",,W","  280",",,W","30.0",",,W","38.9",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-06","2.01",",,W",,,"0.00","T,,D,2400","0.1",",,D","6.0",",,D","23","H,,S","28",",,D","15",",,D","  330",",,W","  310",",,W","10.1",",,W","13.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-07","4.03",",,W",,,"0.00","T,,D,2400","0.1",",,D","6.0",",,D","27","H,,S","38",",,D","18",",,D","  270",",,W","  270",",,W","19.9",",,W","29.1",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-08","9.62",",,W",,,"0.02",",,D,2400","0.9",",,D","6.0",",,D","30","H,,S","38",",,D","22",",,D","  290",",,W","  300",",,W","28.0",",,W","38.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-09","9.62",",,W",,,"0.01",",,D,2400","0.2",",,D","7.0",",,D","20","H,,S","23",",,D","12",",,D","  310",",,W","  290",",,W","25.9",",,W","34.0",",,W",,,,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-10","4.47",",,W",,,"0.00",",,D,2400","0.0",",,D","7.0",",,D","26","H,,S","43",",,D","14",",,D","  190",",,W","  190",",,W","12.1",",,W","15.0",",,W",,,,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-11","9.17",",,W",,,"0.00",",,D,2400","0.0",",,D","6.0",",,D","46","H,,S","61",",,D","35",",,D","  230",",,W","  210",",,W","25.9",",,W","38.0",",,W",,,,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-12","10.29",",,W",,,"0.11",",,D,2400","0.0",",,D","3.0",",,D","58","H,,S","67",",,D","27",",,D","  270",",,W","  280",",,W","33.1",",,W","51.0",",,W","    1",",,W",,,,,,
"USW00014745","CONCORD ASOS, NH US","2020-01-13","2.91",",,W",,,"0.00","T,,D,2400","0.0","T,,D","3.0",",,D","29","H,,S","29",",,D","26",",,D","  110",",,W","  110",",,W","8.9",",,W","15.0",",,W","    1",",,W",,,,,"    1",",,W"
"USW00014745","CONCORD ASOS, NH US","2020-01-14","2.24",",,W",,,"0.00","T,,D,2400","0.0","T,,D","2.0",",,D","31","H,,S","38",",,D","28",",,D","   90",",,W","   80",",,W","8.9",",,W","15.0",",,W","    1",",,W",,,,,,
