Concord, New Hampshire, Average Temperature, December-February
Units: Degrees Fahrenheit
Base Period: 1940-2000
Missing: -99
Date,Value,Anomaly
197002,20.7,-2.7
197102,20.3,-3.1
197202,24.8,1.4
197302,-99.0,-122.4
197402,-99.0,-122.4
197502,-99.0,-122.4
197602,21.2,-2.2
197702,17.8,-5.6
197802,19.4,-4.0
197902,-99.0,-122.4
198002,-99.0,-122.4
198102,21.6,-1.8
198202,19.8,-3.6
198302,28.0,4.6
198402,24.1,0.7
198502,24.8,1.4
198602,22.9,-0.5
198702,24.4,1.0
198802,24.2,0.8
198902,24.6,1.2
199002,22.5,-0.9
199102,27.2,3.8
199202,25.7,2.3
199302,22.7,-0.7
199402,19.1,-4.3
199502,27.3,3.9
199602,23.3,-0.1
199702,28.3,4.9
199802,29.9,6.5
199902,27.6,4.2
200002,26.2,2.8
200102,23.0,-0.4
200202,30.7,7.3
200302,19.8,-3.6
200402,23.2,-0.2
200502,24.2,0.8
200602,26.7,3.3
200702,26.9,3.5
200802,24.6,1.2
200902,22.8,-0.6
201002,26.5,3.1
201102,22.8,-0.6
201202,29.9,6.5
201302,27.1,3.7
201402,21.8,-1.6
201502,20.7,-2.7
201602,31.0,7.6
201702,28.8,5.4
201802,25.2,1.8
201902,25.0,1.6
